instant,dteday,season,year,month,hours,holiday,weekday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_cr,temp_actual,atemp_actual,hum_actual,windspeed_actual,time_group,temp_category
1,2011-01-01,Spring,2011,Jan,0,No,Saturday,Clear,0.24,0.2879,0.81,0.0,3,13,16,9.84,14.395,81.0,0.0,Night,Cold
2,2011-01-01,Spring,2011,Jan,1,No,Saturday,Clear,0.22,0.2727,0.8,0.0,8,32,40,9.02,13.635,80.0,0.0,Night,Cold
3,2011-01-01,Spring,2011,Jan,2,No,Saturday,Clear,0.22,0.2727,0.8,0.0,5,27,32,9.02,13.635,80.0,0.0,Night,Cold
4,2011-01-01,Spring,2011,Jan,3,No,Saturday,Clear,0.24,0.2879,0.75,0.0,3,10,13,9.84,14.395,75.0,0.0,Night,Cold
5,2011-01-01,Spring,2011,Jan,4,No,Saturday,Clear,0.24,0.2879,0.75,0.0,0,1,1,9.84,14.395,75.0,0.0,Night,Cold
6,2011-01-01,Spring,2011,Jan,5,No,Saturday,Mist,0.24,0.2576,0.75,0.0896,0,1,1,9.84,12.879999999999999,75.0,6.0032,Night,Cold
7,2011-01-01,Spring,2011,Jan,6,No,Saturday,Clear,0.22,0.2727,0.8,0.0,2,0,2,9.02,13.635,80.0,0.0,Morning,Cold
8,2011-01-01,Spring,2011,Jan,7,No,Saturday,Clear,0.2,0.2576,0.86,0.0,1,2,3,8.200000000000001,12.879999999999999,86.0,0.0,Morning,Cold
9,2011-01-01,Spring,2011,Jan,8,No,Saturday,Clear,0.24,0.2879,0.75,0.0,1,7,8,9.84,14.395,75.0,0.0,Morning,Cold
10,2011-01-01,Spring,2011,Jan,9,No,Saturday,Clear,0.32,0.3485,0.76,0.0,8,6,14,13.120000000000001,17.424999999999997,76.0,0.0,Morning,Cold
11,2011-01-01,Spring,2011,Jan,10,No,Saturday,Clear,0.38,0.3939,0.76,0.2537,12,24,36,15.58,19.695,76.0,16.997899999999998,Morning,Mild
12,2011-01-01,Spring,2011,Jan,11,No,Saturday,Clear,0.36,0.3333,0.81,0.2836,26,30,56,14.76,16.665,81.0,19.0012,Morning,Mild
13,2011-01-01,Spring,2011,Jan,12,No,Saturday,Clear,0.42,0.4242,0.77,0.2836,29,55,84,17.22,21.21,77.0,19.0012,Afternoon,Mild
14,2011-01-01,Spring,2011,Jan,13,No,Saturday,Mist,0.46,0.4545,0.72,0.2985,47,47,94,18.86,22.725,72.0,19.999499999999998,Afternoon,Mild
15,2011-01-01,Spring,2011,Jan,14,No,Saturday,Mist,0.46,0.4545,0.72,0.2836,35,71,106,18.86,22.725,72.0,19.0012,Afternoon,Mild
16,2011-01-01,Spring,2011,Jan,15,No,Saturday,Mist,0.44,0.4394,0.77,0.2985,40,70,110,18.04,21.97,77.0,19.999499999999998,Afternoon,Mild
17,2011-01-01,Spring,2011,Jan,16,No,Saturday,Mist,0.42,0.4242,0.82,0.2985,41,52,93,17.22,21.21,82.0,19.999499999999998,Afternoon,Mild
18,2011-01-01,Spring,2011,Jan,17,No,Saturday,Mist,0.44,0.4394,0.82,0.2836,15,52,67,18.04,21.97,82.0,19.0012,Evening,Mild
19,2011-01-01,Spring,2011,Jan,18,No,Saturday,Light Rain/Snow,0.42,0.4242,0.88,0.2537,9,26,35,17.22,21.21,88.0,16.997899999999998,Evening,Mild
20,2011-01-01,Spring,2011,Jan,19,No,Saturday,Light Rain/Snow,0.42,0.4242,0.88,0.2537,6,31,37,17.22,21.21,88.0,16.997899999999998,Evening,Mild
21,2011-01-01,Spring,2011,Jan,20,No,Saturday,Mist,0.4,0.4091,0.87,0.2537,11,25,36,16.400000000000002,20.455000000000002,87.0,16.997899999999998,Evening,Mild
22,2011-01-01,Spring,2011,Jan,21,No,Saturday,Mist,0.4,0.4091,0.87,0.194,3,31,34,16.400000000000002,20.455000000000002,87.0,12.998000000000001,Night,Mild
23,2011-01-01,Spring,2011,Jan,22,No,Saturday,Mist,0.4,0.4091,0.94,0.2239,11,17,28,16.400000000000002,20.455000000000002,94.0,15.001299999999999,Night,Mild
